date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:39	366/366	---M-Z	200	added ('OK')	text/plain	etag:%22367-5c062b3f60ba7-gzip%22	https://www.aber.ac.uk/robots.txt		(from )
21:58:39	42049/42049	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:29:41%20GMT	https://www.aber.ac.uk/en/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/www.aber.ac.uk/en/index.html	(from )
21:58:40	3495/3495	---M--	200	added ('OK')	image/png	etag:%22da7-57f81c66b9000%22	https://www.aber.ac.uk/img/apple-touch-icon.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/www.aber.ac.uk/img/apple-touch-icon.png	(from https://www.aber.ac.uk/en/)
21:58:40	55882/55882	---M-Z	200	added ('OK')	text/css	etag:%22da4a-5e9e5b42b55e5-gzip%22	https://www.aber.ac.uk/css2/hp-v9.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/www.aber.ac.uk/css2/hp-v9.css	(from https://www.aber.ac.uk/en/)
21:58:40	435226/435226	---M-Z	200	added ('OK')	text/css	etag:%226a41a-5e88e572821a7-gzip%22	https://www.aber.ac.uk/css2/app-v1.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/www.aber.ac.uk/css2/app-v1.css	(from https://www.aber.ac.uk/en/)
21:58:41	103449/103449	---M-Z	200	added ('OK')	application/javascript	etag:%220ac913d0d7d81:0%22	https://consent.cookiebot.com/uc.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/consent.cookiebot.com/uc.js	(from https://www.aber.ac.uk/en/)
21:58:41	357/357	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2012%20Nov%202022%2016:29:43%20GMT	http://www.aber.ac.uk/en/research/equipment/OPD.ttl	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/www.aber.ac.uk/en/research/equipment/OPD.4.delayed	(from https://www.aber.ac.uk/en/)
21:58:42	334/334	---M--	302	error ('Found')	text/html	date:Sat,%2012%20Nov%202022%2016:29:43%20GMT	http://www.aber.ac.uk/en/rbi/research/aber-research/equipment/OPD.ttl	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/www.aber.ac.uk/en/rbi/research/aber-research/equipment/OPD.ttl	(from https://www.aber.ac.uk/en/)
21:58:42	7179/7179	---M--	200	added ('OK')	text/turtle	etag:%221c0b-5ec195ab17117%22	https://www.aber.ac.uk/en/rbi/research/aber-research/equipment/OPD.ttl	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/www.aber.ac.uk/en/rbi/research/aber-research/equipment/OPD.ttl	(from https://www.aber.ac.uk/en/)
21:58:42	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2012%20Nov%202022%2016:29:44%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/www.googletagmanager.com/gtm.75445.delayed	(from https://www.aber.ac.uk/en/)
21:58:42	10582/10582	---M--	200	added ('OK')	image/png	etag:%222956-5913f549b8a00%22	https://www.aber.ac.uk/img/logo/au-logo.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/www.aber.ac.uk/img/logo/au-logo.png	(from https://www.aber.ac.uk/en/)
21:58:43	2053/2053	---M--	200	added ('OK')	image/png	etag:%22805-5d6f6295fdb00%22	https://www.aber.ac.uk/img/logo/150-logo.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/www.aber.ac.uk/img/logo/150-logo.png	(from https://www.aber.ac.uk/en/)
21:58:43	24668/24668	---M-Z	200	added ('OK')	text/html	etag:%22605c-5ec66df1ccac1-gzip%22	https://www.aber.ac.uk/en/about-us/150-anniversary/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/www.aber.ac.uk/en/about-us/150-anniversary/index.html	(from https://www.aber.ac.uk/en/)
21:58:43	368/368	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2012%20Nov%202022%2016:29:45%20GMT	https://www.aber.ac.uk/en/study-with-us/continuing-professional?from=globalnav	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/www.aber.ac.uk/en/study-with-us/continuing-professional730d	(from https://www.aber.ac.uk/en/)
21:58:44	32831/32831	---M-Z	200	added ('OK')	text/html	etag:%22803f-5ea4600cb8fe8-gzip%22	https://www.aber.ac.uk/en/study-with-us/?from=globalnav	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/www.aber.ac.uk/en/study-with-us/index730d.html	(from https://www.aber.ac.uk/en/)
21:58:44	348/348	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2012%20Nov%202022%2016:29:45%20GMT	https://www.aber.ac.uk/en/study-with-us/mba?from=globalnav	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/www.aber.ac.uk/en/study-with-us/mba730d	(from https://www.aber.ac.uk/en/)
21:58:44	331/331	---M--	302	error ('Found')	text/html	date:Sat,%2012%20Nov%202022%2016:29:46%20GMT	http://www.aber.ac.uk/en/news/archive/2022/11/title-259684-en.html	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/www.aber.ac.uk/en/news/archive/2022/11/title-259684-en.html	(from https://www.aber.ac.uk/en/)
21:58:45	30254/30254	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:29:46%20GMT	https://www.aber.ac.uk/en/study-with-us/subjects/?from=globalnav	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/www.aber.ac.uk/en/study-with-us/subjects/index730d.html	(from https://www.aber.ac.uk/en/)
21:58:45	22237/22237	---M-Z	200	added ('OK')	text/html	etag:%2256dd-5ec66d7579f3b-gzip%22	https://www.aber.ac.uk/en/study-with-us/ug-studies/?from=globalnav	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day19/Web89/Site89/www.aber.ac.uk/en/study-with-us/ug-studies/index730d.html	(from https://www.aber.ac.uk/en/)
